asset_id,source_system,asset_type,technical_name,source_ref,field_count,nullable_field_count,non_nullable_field_count,numeric_field_count,date_field_count,text_field_count,large_text_field_count,avg_data_length,max_data_length,row_count,size_bytes,size_mb,has_profile_data,label_raw,label_normalized
1005220,oracle,oracle_table,SYSADM.PS_AM_BI_AEDS,PS_AM_BI_AEDS,48,1,47,10,1,37,0,8.791666666666666,30.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005221,oracle,oracle_table,SYSADM.PS_AM_BI_AEDS1,PS_AM_BI_AEDS1,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005222,oracle,oracle_table,SYSADM.PS_AM_BI_AEDS2,PS_AM_BI_AEDS2,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005223,oracle,oracle_table,SYSADM.PS_AM_BI_AEDS3,PS_AM_BI_AEDS3,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005224,oracle,oracle_table,SYSADM.PS_AM_BI_AEDS4,PS_AM_BI_AEDS4,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005225,oracle,oracle_table,SYSADM.PS_AM_BI_AEDS5,PS_AM_BI_AEDS5,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005226,oracle,oracle_table,SYSADM.PS_AM_BI_AEDS6,PS_AM_BI_AEDS6,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005227,oracle,oracle_table,SYSADM.PS_AM_BI_AEDS7,PS_AM_BI_AEDS7,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005228,oracle,oracle_table,SYSADM.PS_AM_BI_AEDS8,PS_AM_BI_AEDS8,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005229,oracle,oracle_table,SYSADM.PS_AMBI_BU_LANG,PS_AMBI_BU_LANG,4,0,4,0,0,4,0,12.0,30.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005230,oracle,oracle_table,SYSADM.PS_AM_BI_DRIVER,PS_AM_BI_DRIVER,245,18,227,53,18,174,0,9.53469387755102,40.0,0.0,0.0,0.0,VRAI,Finance,Finance
1005231,oracle,oracle_table,SYSADM.PS_AM_BI_DRIVER1,PS_AM_BI_DRIVER1,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005232,oracle,oracle_table,SYSADM.PS_AM_BI_DRIVER2,PS_AM_BI_DRIVER2,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005233,oracle,oracle_table,SYSADM.PS_AM_BI_DRIVER3,PS_AM_BI_DRIVER3,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005234,oracle,oracle_table,SYSADM.PS_AM_BI_DRIVER4,PS_AM_BI_DRIVER4,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005235,oracle,oracle_table,SYSADM.PS_AM_BI_DRIVER5,PS_AM_BI_DRIVER5,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005236,oracle,oracle_table,SYSADM.PS_AM_BI_DRIVER6,PS_AM_BI_DRIVER6,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
1005237,oracle,oracle_table,SYSADM.PS_AM_BI_DRIVER7,PS_AM_BI_DRIVER7,0,0,0,0,0,0,0,,,0.0,0.0,0.0,VRAI,Finance,Finance
